election_year,tweet_id,created_at,content,lang,username,display_name,user_location,followers,following,statuses,verified,retweet_count,like_count,reply_count,place_name,country,source
2021,1439687820117876736,2021-09-19T20:28:19.000Z,@Alan_G_Smith_BC @JustinTrudeau @liberal_party @mgeist Tell ‘em to use Telegram.,en,tim_dunkerton,Timothy J Dunkerton,,1986,663,69712,False,0,0,1,,,x_api
2021,1439687685816340486,2021-09-19T20:27:47.000Z,"@natnewswatch @globeandmail You mean like when Trudeau killed off a few nursing homes and 25,000 Canadian Seniors by leaving the airports wide open so he could dunk on Trump?

Yeah, the kid's a real genius.",en,Albirdly2,Albirdly 🚽 🇨🇦,From Parts Unknown,10649,7770,79129,False,0,0,0,,,x_api
2021,1439687627284758528,2021-09-19T20:27:33.000Z,"@WatchtowerRome Australia is essentially controlled by Crown just as Canada right? Why then has Boris &amp; other ""leaders"" not condemned this tyranny? Why is Justin Trudeau implementing CCP social credit system starting with businesses? This is all by design? These politicians are ALL puppets.",en,RandallGood9,America Is Burning,My van by the river.. ,144,252,10798,False,0,0,0,,,x_api
2021,1439687493159297024,2021-09-19T20:27:01.000Z,@JustinTrudeau telling Canadians  stay home on election night even vote 🗳 for smaller parties we know he's relying on PPC @MaximeBernier split voting so Trudeau wins a Min. Gov't! MadMax will be in Saskatchewan not with other parties?!Get out vote CPC 🗳 MAJ. to fight back for🇨🇦 https://t.co/d4DoP8Ow9J,en,LLawren13,LucyLawren13,"Calgary, Alberta/ Chandler, AZ",1378,1346,5805,False,1,0,0,,,x_api
2021,1439687430337019904,2021-09-19T20:26:46.000Z,"I hope the first thing Prime Minister Bernier does is suspend all

commerce with China until the Two Micheals are returned to Canada.

The second thing is a total commission on the facts of SARS CoVid.

The third thing is clean out Liberal Appointees…no severance.",en,NorthernObservr,NorthernObservr 🏴‍☠️,Northern Hemisphere,1355,1013,33582,False,0,0,2,,,x_api
2021,1439687341400997888,2021-09-19T20:26:24.000Z,@srtravers @SusanneDeb @JustinTrudeau It takes courage to be vocal about anything liberal or NDP in rural Alberta. You go girl! :),en,grif_norah,Norah Griffiths,,340,637,5202,False,0,22,0,,,x_api
2021,1439687332173549572,2021-09-19T20:26:22.000Z,@JustinTrudeau Instead of trying to keep us United whether you're Vaccinated or not you continue to divide us w/ how you speak.  You're an embarrassment to our great Country you need to be voted out #JustinTrudeau #Trudeau #TrudeauMustGoNow #TrudeauCrimeMinister #Canada #VoteTrudeauOut #Toronto,en,kareemslick,kareemslick,"Toronto, Ontario 🇨🇦 (T Dot)",3177,5082,303933,False,0,0,0,,,x_api
2021,1439687272123691008,2021-09-19T20:26:08.000Z,"@rnselectric @AngusReid CPC is not Liberal lite.  If you look at history of Conservatives in Canada, they were PCs pre-merger and fairly moderate.  We have never had a history of hard right.  Our Tories are more like British ones than American GOP.",en,mileslunn,Miles Lunn 🇨🇦🇺🇦🇮🇱🇬🇱,"Vancouver, British Columbia",3135,444,328040,False,0,0,0,,,x_api
2021,1439687241471864838,2021-09-19T20:26:01.000Z,@melaniejoly @JustinTrudeau @pablorodriguez @parti_liberal @MarcMillerVM The Nazi Party….. dividing Canadian citizens against one another,en,HouseOfTraitors,Sunflower Days,,2376,56,156405,False,0,0,0,,,x_api
2021,1439687221003567111,2021-09-19T20:25:56.000Z,"@jennirosef @CallMeTexx @erinotoole A good united #Canada need for a stop:
Cost of Living highest in 18 yrs
Home prices 50% increase
Tax 📈GST, Home, Carbon

Liberal Party is for the RICH

#cdnpoli #Elxn44vote #Toronto #bcpoli #quebec #abpoli #ONpoli  #nbpoli #nlpoli #Nspoli #ontario #Canada #WomensRights #MeToo",en,Consume81958121,((( Consumer Protection ))),,1060,2885,14832,False,0,0,0,,,x_api
